id,largo_cm,peso_g,circunferencia_cm,talla
1,6.0,69.2,14.64,Grande
2,5.49,58.7,13.91,Mediana
3,6.12,76.1,15.91,Grande
4,6.82,94.1,17.76,Grande
5,5.41,46.4,13.8,Mediana
6,5.41,48.8,14.45,Mediana
7,6.86,92.4,17.2,Grande
8,6.21,75.3,16.07,Grande
9,5.22,52.9,13.66,Mediana
10,6.03,89.3,16.0,Grande
11,5.23,53.3,14.02,Mediana
12,5.23,56.4,12.92,Mediana
13,5.79,67.7,14.14,Grande
14,4.07,33.0,11.35,Pequeña
15,4.22,30.0,11.17,Pequeña
16,5.15,52.8,12.94,Mediana
17,4.79,37.4,13.38,Pequeña
18,5.85,62.5,15.28,Mediana
19,4.87,40.5,13.38,Pequeña
20,4.47,36.4,11.66,Pequeña
21,6.77,95.0,18.84,Grande
22,5.42,43.9,15.14,Pequeña
23,5.65,63.0,14.55,Mediana
24,4.46,26.9,12.18,Pequeña
25,5.16,46.3,13.81,Mediana
26,5.69,66.0,15.61,Grande
27,4.68,40.0,11.59,Pequeña
28,5.9,59.0,15.75,Mediana
29,5.12,44.0,13.95,Pequeña
30,5.37,56.8,12.9,Mediana
31,5.12,43.9,12.6,Pequeña
32,7.0,94.6,16.98,Grande
33,5.59,58.1,14.37,Mediana
34,4.75,37.4,12.79,Pequeña
35,6.26,85.4,17.17,Grande
36,4.62,42.1,12.07,Pequeña
37,5.77,50.7,15.97,Mediana
38,4.03,29.9,9.66,Pequeña
39,4.54,33.5,10.78,Pequeña
40,5.76,66.3,14.94,Grande
41,6.19,67.5,16.33,Grande
42,5.74,60.5,14.9,Mediana
43,5.51,58.8,13.08,Mediana
44,5.36,57.6,13.88,Mediana
45,4.42,28.4,10.7,Pequeña
46,5.02,44.2,13.46,Pequeña
47,5.23,47.6,13.82,Mediana
48,6.45,74.8,16.19,Grande
49,5.87,74.0,14.97,Grande
50,4.19,33.5,10.26,Pequeña
51,5.86,57.0,15.2,Mediana
52,5.29,56.5,14.33,Mediana
53,5.06,58.4,12.56,Mediana
54,6.09,75.1,16.13,Grande
55,6.42,69.4,16.39,Grande
56,6.35,73.1,16.02,Grande
57,4.93,51.2,12.75,Mediana
58,5.35,48.8,13.3,Mediana
59,5.87,66.5,14.92,Grande
60,6.38,80.9,15.87,Grande
61,5.22,44.8,14.74,Pequeña
62,5.45,54.5,14.19,Mediana
63,4.71,22.4,11.84,Pequeña
64,4.64,33.3,12.2,Pequeña
65,6.25,72.0,16.18,Grande
66,6.68,77.8,17.25,Grande
67,5.54,65.8,14.78,Grande
68,6.4,69.4,17.1,Grande
69,5.89,62.2,14.99,Mediana
70,5.08,48.0,12.87,Mediana
71,5.89,72.6,15.15,Grande
72,6.83,80.7,16.38,Grande
73,5.57,63.8,13.58,Mediana
74,6.85,89.3,18.63,Grande
75,4.0,23.0,11.39,Pequeña
76,6.26,76.1,16.12,Grande
77,5.67,60.7,15.09,Mediana
78,5.36,49.6,14.12,Mediana
79,5.67,60.1,16.6,Mediana
80,4.01,26.4,11.1,Pequeña
81,5.42,54.9,14.03,Mediana
82,5.89,68.2,14.73,Grande
83,6.78,95.0,16.67,Grande
84,5.19,42.5,13.6,Pequeña
85,4.95,56.4,12.42,Mediana
86,5.2,38.8,12.66,Pequeña
87,6.33,74.6,16.08,Grande
88,5.86,67.3,14.59,Grande
89,5.18,50.6,14.47,Mediana
90,6.01,64.1,16.16,Mediana
91,5.68,58.6,14.76,Mediana
92,6.37,73.8,17.46,Grande
93,5.04,43.1,13.15,Pequeña
94,5.34,57.1,13.36,Mediana
95,5.29,53.3,14.66,Mediana
96,4.43,31.4,11.84,Pequeña
97,5.84,68.4,14.55,Grande
98,5.81,64.5,14.99,Mediana
99,5.6,62.6,14.05,Mediana
100,5.41,57.5,13.24,Mediana
101,4.47,31.3,12.17,Pequeña
102,5.26,47.8,14.83,Mediana
103,5.33,56.3,13.01,Mediana
104,4.96,48.2,13.23,Mediana
105,5.47,55.1,13.83,Mediana
106,5.92,66.1,15.11,Grande
107,7.0,95.0,17.84,Grande
108,5.74,57.9,14.4,Mediana
109,5.81,65.7,15.12,Grande
110,5.54,55.6,13.91,Mediana
111,4.06,28.1,10.73,Pequeña
112,5.58,63.6,14.47,Mediana
113,5.65,63.7,14.54,Mediana
114,7.0,95.0,17.66,Grande
115,5.45,61.9,13.81,Mediana
116,5.84,63.6,15.64,Mediana
117,5.57,61.2,14.79,Mediana
118,4.67,37.6,11.54,Pequeña
119,6.51,81.9,17.0,Grande
120,6.2,71.4,16.57,Grande
121,6.23,73.5,15.2,Grande
122,4.87,46.4,12.99,Mediana
123,6.72,81.2,17.08,Grande
124,4.48,47.6,11.99,Mediana
125,6.07,63.4,15.32,Mediana
126,7.0,86.7,17.12,Grande
127,4.81,48.3,11.52,Mediana
128,5.15,52.9,13.41,Mediana
129,5.68,63.3,14.92,Mediana
130,5.2,53.0,12.97,Mediana
131,4.36,34.0,11.72,Pequeña
132,5.65,54.3,13.71,Mediana
133,4.75,41.3,12.31,Pequeña
134,5.98,63.0,14.82,Mediana
135,4.86,48.4,12.26,Mediana
136,6.84,88.1,17.81,Grande
137,4.97,40.6,12.41,Pequeña
138,5.34,50.8,13.66,Mediana
139,6.25,75.7,16.86,Grande
140,4.62,35.4,11.65,Pequeña
141,5.78,57.6,15.53,Mediana
142,6.65,85.0,16.6,Grande
143,4.31,34.7,11.53,Pequeña
144,5.75,58.6,15.81,Mediana
145,5.81,60.2,13.62,Mediana
146,6.23,74.0,15.71,Grande
147,4.61,30.4,12.33,Pequeña
148,4.54,29.5,11.69,Pequeña
149,6.02,63.7,15.87,Mediana
150,5.84,62.3,14.82,Mediana
151,5.8,64.3,15.13,Mediana
152,5.88,72.5,15.19,Grande
153,5.06,51.4,13.85,Mediana
154,5.79,61.4,15.2,Mediana
155,5.83,63.3,15.37,Mediana
156,5.03,40.7,12.83,Pequeña
157,7.0,93.3,17.91,Grande
158,5.98,65.2,15.29,Grande
159,4.65,40.8,12.32,Pequeña
160,6.13,65.7,15.67,Grande
161,4.82,45.0,12.71,Mediana
162,6.23,81.3,17.44,Grande
163,6.53,79.9,17.49,Grande
164,4.94,46.7,12.66,Mediana
165,6.37,80.2,17.28,Grande
166,5.93,63.4,15.17,Mediana
167,6.26,74.8,15.05,Grande
168,7.0,93.5,17.6,Grande
169,5.4,54.4,12.93,Mediana
170,5.0,41.3,12.78,Pequeña
171,4.89,43.6,12.72,Pequeña
172,4.95,47.3,13.87,Mediana
173,5.54,64.7,14.6,Mediana
174,5.87,69.5,15.14,Grande
175,5.82,74.9,15.63,Grande
176,6.26,69.4,14.95,Grande
177,5.61,63.1,14.73,Mediana
178,6.76,87.8,18.05,Grande
179,5.39,65.5,13.12,Grande
180,7.0,88.9,18.89,Grande
181,6.1,65.1,16.06,Grande
182,4.91,40.7,12.53,Pequeña
183,4.74,29.1,12.71,Pequeña
184,5.99,64.0,16.93,Mediana
185,5.42,50.0,14.2,Mediana
186,6.17,72.2,16.19,Grande
187,5.98,68.6,15.27,Grande
188,5.54,67.1,13.9,Grande
189,4.92,49.3,13.3,Mediana
190,4.39,31.4,10.9,Pequeña
191,5.24,45.5,13.67,Mediana
192,6.29,77.0,16.05,Grande
193,5.77,54.7,15.29,Mediana
194,4.6,48.3,12.17,Mediana
195,5.74,67.7,15.54,Grande
196,5.91,62.5,15.06,Mediana
197,4.89,34.1,12.56,Pequeña
198,5.72,68.3,14.29,Grande
